연번,행정동,주소,데이터기준일자,위도,경도
23.0,개봉2동,서울 구로구 개봉로15길 46-10,2024-06-07,37.4903029004906,126.853377498201
24.0,개봉2동,서울 구로구 개봉로15길 58-5,2024-06-07,37.4901151498099,126.852596406487
25.0,개봉2동,서울 구로구 개봉로15길 70,2024-06-07,37.4899638660239,126.852087982081
26.0,개봉2동,서울 구로구 개봉로15길 72,2024-06-07,37.4899538494164,126.851859930817
27.0,개봉2동,서울 구로구 개봉로15길 84-3,2024-06-07,37.4899609476416,126.851055957919
28.0,개봉2동,서울 구로구 개봉로15길 94,2024-06-07,37.4899720615278,126.850795299357
29.0,개봉2동,서울 구로구 개봉로15길 74-18,2024-06-07,37.4907287674408,126.85182967925
30.0,개봉2동,서울 구로구 개봉로17길 83,2024-06-07,37.4910644219631,126.851136425423
31.0,개봉2동,서울 구로구 개봉로15길 74-27,2024-06-07,37.4910844392315,126.851506257551
32.0,개봉2동,서울 구로구 개봉로17길 65,2024-06-07,37.4911256720043,126.852270231414
33.0,개봉2동,서울 구로구 개봉로17길 58,2024-06-07,37.4913819852235,126.852684604395
34.0,개봉2동,서울 구로구 개봉로17마길 8,2024-06-07,37.4917140812528,126.853251711934
35.0,개봉2동,서울 구로구 개봉로17길 30-8,2024-06-07,37.4919665719734,126.854220969836
36.0,개봉2동,서울 구로구 개봉로17가길 15,2024-06-07,37.4922932629938,126.85516193462
37.0,개봉2동,서울 구로구 개봉로17길 18-11,2024-06-07,37.4922220811527,126.854500114639
38.0,개봉2동,서울 구로구 개봉로17가길 36,2024-06-07,37.4932072563667,126.855540002977
39.0,개봉2동,서울 구로구 개봉로17나길 2,2024-06-07,37.4930264910482,126.855226443796
40.0,개봉2동,서울 구로구 개봉로17다길 6,2024-06-07,37.4934698296369,126.855114883052
41.0,개봉2동,서울 구로구 개봉로17나길 16,2024-06-07,37.4931301592719,126.85453566922
42.0,개봉2동,서울 구로구 개봉로17다길 36,2024-06-07,37.4935871636711,126.853453400236
43.0,개봉2동,서울 구로구 개봉로19길 85,2024-06-07,37.4938280249647,126.853326166698
44.0,개봉2동,서울 구로구 개봉로17나길 60,2024-06-07,37.4934967026397,126.852079771498
45.0,개봉2동,서울 구로구 개봉로17다길 62,2024-06-07,37.4939220217761,126.852043086211
46.0,개봉2동,서울 구로구 개봉로17아길 41,2024-06-07,37.49316506357,126.850735687512
47.0,개봉2동,서울 구로구 개봉로17바길 53,2024-06-07,37.4935891212046,126.851199149479
48.0,개봉2동,서울 구로구 개봉로17바길 70,2024-06-07,37.4941897556233,126.851863211963
49.0,개봉2동,서울 구로구 개봉로17아길 57,2024-06-07,37.4938062704854,126.850633317761
50.0,개봉2동,서울 구로구 개봉로17아길 41-22,2024-06-07,37.4935643157772,126.850108091542
51.0,개봉2동,서울 구로구 개봉로17아길 51-10,2024-06-07,37.4938573333411,126.850471737462
